INFO: ChannelWidth 160, Arch_filename "/home/alex/Documents/EPFL/PARSA/VTR8_S/vtr_flow/arch/timing/k6_frac_N10_frac_chain_mem32K_40nm.xml"
INFO: Total: SegmentTypes 1, Channels 2, Delta_xs 30, Delta_ys 30

SegTypeId 0 (unnamed_segment_0, length 4) Chan 0
4, 7 : 3.49062e-10, 3.50895e-10
4, 8 : 3.47955e-10, 3.15629e-10
4, 9 : 3.52383e-10, 3.15629e-10
4, 10 : 4.26563e-10, 4.56693e-10
4, 11 : 4.86805e-10, 4.91959e-10
4, 12 : 4.86805e-10, 4.56693e-10
4, 13 : 4.9234e-10, 4.56693e-10
4, 14 : 5.83508e-10, 5.97756e-10
4, 15 : 6.23441e-10, 5.97756e-10
4, 16 : 6.05289e-10, 5.97756e-10
4, 17 : 6.31189e-10, 5.97756e-10
4, 18 : 7.22357e-10, 7.3882e-10
4, 19 : 7.6229e-10, 7.74086e-10
4, 20 : 7.6229e-10, 7.3882e-10
4, 21 : 7.70039e-10, 7.3882e-10
4, 22 : 8.44219e-10, 8.79883e-10
4, 23 : 9.0114e-10, 9.15149e-10
4, 24 : 9.0114e-10, 8.79883e-10
4, 25 : 9.09995e-10, 8.79883e-10
4, 26 : 9.97843e-10, 1.02095e-09
4, 27 : 1.03778e-09, 1.02095e-09
4, 28 : 1.02294e-09, 1.02095e-09
4, 29 : 1.26121e-09, 1.33834e-09
5, 0 : 2.855e-10, 3.15629e-10
5, 1 : 3.04189e-10, 3.15629e-10
5, 2 : 3.04189e-10, 3.50895e-10
5, 3 : 3.04189e-10, 3.50895e-10
5, 4 : 3.27367e-10, 3.15629e-10
5, 5 : 3.28548e-10, 3.15629e-10
5, 6 : 3.26335e-10, 3.15629e-10
5, 7 : 4.44807e-10, 4.91959e-10
5, 8 : 4.47317e-10, 4.56693e-10
5, 9 : 4.66291e-10, 4.56693e-10
5, 10 : 4.74039e-10, 4.56693e-10
5, 11 : 5.82549e-10, 6.33022e-10
5, 12 : 5.86167e-10, 5.97756e-10
5, 13 : 6.07429e-10, 5.97756e-10
5, 14 : 6.21373e-10, 5.97756e-10
5, 15 : 7.05147e-10, 7.74086e-10
5, 16 : 7.16159e-10, 7.3882e-10
5, 17 : 7.49525e-10, 7.3882e-10
5, 18 : 7.62437e-10, 7.3882e-10
5, 19 : 8.59142e-10, 9.15149e-10
5, 20 : 8.6608e-10, 8.79883e-10
5, 21 : 8.8284e-10, 9.15149e-10
5, 22 : 9.035e-10, 8.79883e-10
5, 23 : 9.96884e-10, 1.05621e-09
5, 24 : 1.007e-09, 1.02095e-09
5, 25 : 1.0273e-09, 1.02095e-09
5, 26 : 1.04567e-09, 1.02095e-09
5, 27 : 1.13478e-09, 1.19728e-09
5, 28 : 1.1395e-09, 1.16201e-09
5, 29 : 1.26935e-09, 1.33834e-09
6, 0 : 3.04189e-10, 3.15629e-10
6, 1 : 3.25302e-10, 3.50895e-10
6, 2 : 3.25302e-10, 3.50895e-10
6, 3 : 3.27441e-10, 3.50895e-10
6, 4 : 3.50169e-10, 3.15629e-10
6, 5 : 3.50169e-10, 3.15629e-10
6, 6 : 3.50169e-10, 3.15629e-10
6, 7 : 4.69612e-10, 4.91959e-10
6, 8 : 4.87912e-10, 4.91959e-10
6, 9 : 4.87912e-10, 4.56693e-10
6, 10 : 4.9234e-10, 4.56693e-10
6, 11 : 6.10527e-10, 6.33022e-10
6, 12 : 6.25655e-10, 6.33022e-10
6, 13 : 6.30082e-10, 5.97756e-10
6, 14 : 6.32296e-10, 5.97756e-10
6, 15 : 7.49376e-10, 7.74086e-10
6, 16 : 7.27379e-10, 7.3882e-10
6, 17 : 7.68932e-10, 7.3882e-10
6, 18 : 7.72253e-10, 7.3882e-10
6, 19 : 8.88226e-10, 9.15149e-10
6, 20 : 9.0114e-10, 9.15149e-10
6, 21 : 9.05568e-10, 8.79883e-10
6, 22 : 9.09995e-10, 8.79883e-10
6, 23 : 1.02708e-09, 1.05621e-09
6, 24 : 1.0422e-09, 1.02095e-09
6, 25 : 1.04663e-09, 1.02095e-09
6, 26 : 1.04774e-09, 1.02095e-09
6, 27 : 1.16696e-09, 1.16201e-09
6, 28 : 1.14061e-09, 1.16201e-09
6, 29 : 1.30153e-09, 1.30307e-09
7, 0 : 3.25302e-10, 3.15629e-10
7, 1 : 3.49062e-10, 3.50895e-10
7, 2 : 3.49062e-10, 3.50895e-10
7, 3 : 3.49062e-10, 3.15629e-10
7, 4 : 3.49062e-10, 3.15629e-10
7, 5 : 3.51276e-10, 3.15629e-10
7, 6 : 3.5349e-10, 3.15629e-10
7, 7 : 4.87912e-10, 4.91959e-10
7, 8 : 4.89019e-10, 4.56693e-10
7, 9 : 4.87912e-10, 4.56693e-10
7, 10 : 4.9234e-10, 4.56693e-10
7, 11 : 6.25655e-10, 6.33022e-10
7, 12 : 6.27868e-10, 5.97756e-10
7, 13 : 6.28975e-10, 5.97756e-10
7, 14 : 6.33403e-10, 5.97756e-10
7, 15 : 7.61184e-10, 7.3882e-10
7, 16 : 7.27379e-10, 7.3882e-10
7, 17 : 7.70039e-10, 7.3882e-10
7, 18 : 7.7336e-10, 7.3882e-10
7, 19 : 9.02247e-10, 9.15149e-10
7, 20 : 9.03354e-10, 8.79883e-10
7, 21 : 9.07782e-10, 8.79883e-10
7, 22 : 9.12209e-10, 8.79883e-10
7, 23 : 1.03999e-09, 1.02095e-09
7, 24 : 1.0422e-09, 1.02095e-09
7, 25 : 1.04663e-09, 1.02095e-09
7, 26 : 1.04885e-09, 1.02095e-09
7, 27 : 1.17552e-09, 1.16201e-09
7, 28 : 1.14061e-09, 1.16201e-09
7, 29 : 1.31548e-09, 1.33834e-09
8, 0 : 3.49062e-10, 3.15629e-10
8, 1 : 4.24349e-10, 4.91959e-10
8, 2 : 4.29661e-10, 4.91959e-10
8, 3 : 4.27447e-10, 4.91959e-10
8, 4 : 4.27447e-10, 4.91959e-10
8, 5 : 4.46211e-10, 4.56693e-10
8, 6 : 4.43997e-10, 4.91959e-10
8, 7 : 4.87912e-10, 4.56693e-10
8, 8 : 4.85698e-10, 4.56693e-10
8, 9 : 4.93447e-10, 4.56693e-10
8, 10 : 5.67627e-10, 5.97756e-10
8, 11 : 6.25655e-10, 5.97756e-10
8, 12 : 6.24548e-10, 5.97756e-10
8, 13 : 6.33403e-10, 5.97756e-10
8, 14 : 7.21251e-10, 7.3882e-10
8, 15 : 7.6229e-10, 7.3882e-10
8, 16 : 7.46353e-10, 7.3882e-10
8, 17 : 7.7336e-10, 7.3882e-10
8, 18 : 8.601e-10, 8.79883e-10
8, 19 : 9.02247e-10, 8.79883e-10
8, 20 : 9.00033e-10, 8.79883e-10
8, 21 : 9.11102e-10, 8.79883e-10
8, 22 : 9.85283e-10, 1.02095e-09
8, 23 : 1.0422e-09, 1.02095e-09
8, 24 : 1.03888e-09, 1.02095e-09
8, 25 : 1.05106e-09, 1.02095e-09
8, 26 : 1.13559e-09, 1.16201e-09
8, 27 : 1.17663e-09, 1.16201e-09
8, 28 : 1.16401e-09, 1.16201e-09
8, 29 : 1.40272e-09, 1.44414e-09
9, 0 : 4.24349e-10, 4.56693e-10
9, 1 : 4.41931e-10, 4.56693e-10
9, 2 : 4.41931e-10, 4.91959e-10
9, 3 : 4.41931e-10, 4.91959e-10
9, 4 : 4.43997e-10, 4.91959e-10
9, 5 : 4.69612e-10, 4.56693e-10
9, 6 : 4.65184e-10, 4.56693e-10
9, 7 : 5.67404e-10, 6.33022e-10
9, 8 : 5.84615e-10, 6.33022e-10
9, 9 : 6.05141e-10, 5.97756e-10
9, 10 : 5.95981e-10, 5.97756e-10
9, 11 : 7.08245e-10, 7.74086e-10
9, 12 : 7.11788e-10, 7.3882e-10
9, 13 : 7.47311e-10, 7.3882e-10
9, 14 : 7.34682e-10, 7.3882e-10
9, 15 : 8.47317e-10, 9.15149e-10
9, 16 : 8.27687e-10, 8.79883e-10
9, 17 : 8.87268e-10, 8.79883e-10
9, 18 : 8.71466e-10, 8.79883e-10
9, 19 : 9.89265e-10, 1.05621e-09
9, 20 : 9.89487e-10, 1.02095e-09
9, 21 : 1.02604e-09, 1.05621e-09
9, 22 : 1.00921e-09, 1.02095e-09
9, 23 : 1.13166e-09, 1.16201e-09
9, 24 : 1.14584e-09, 1.16201e-09
9, 25 : 1.16497e-09, 1.16201e-09
9, 26 : 1.14791e-09, 1.16201e-09
9, 27 : 1.27051e-09, 1.30307e-09
9, 28 : 1.24534e-09, 1.30307e-09
9, 29 : 1.40915e-09, 1.44414e-09
10, 0 : 4.41931e-10, 4.56693e-10
10, 1 : 4.63045e-10, 4.56693e-10
10, 2 : 4.63045e-10, 4.91959e-10
10, 3 : 4.63045e-10, 4.91959e-10
10, 4 : 4.66291e-10, 4.91959e-10
10, 5 : 4.89019e-10, 4.56693e-10
10, 6 : 4.89019e-10, 4.56693e-10
10, 7 : 5.86167e-10, 6.33022e-10
10, 8 : 6.08461e-10, 5.97756e-10
