INFO: ChannelWidth 80, Arch_filename "/home/alex/Documents/EPFL/PARSA/VTR8_S/vtr_flow/arch/timing/k6_frac_N10_frac_chain_mem32K_40nm.xml"
INFO: Total: SegmentTypes 1, Channels 2, Delta_xs 20, Delta_ys 20

SegTypeId 0 (unnamed_segment_0, length 4) Chan 0
6, 7 : 4.48276e-10, 4.90029e-10
6, 8 : 4.65184e-10, 4.54901e-10
6, 9 : 4.67324e-10, 4.54901e-10
6, 10 : 4.70719e-10, 4.54901e-10
6, 11 : 5.89339e-10, 6.30539e-10
6, 12 : 5.66389e-10, 5.95411e-10
6, 13 : 6.07429e-10, 5.95411e-10
6, 14 : 6.12815e-10, 5.95411e-10
6, 15 : 7.30403e-10, 7.71049e-10
6, 16 : 7.43916e-10, 7.35921e-10
6, 17 : 7.42735e-10, 7.35921e-10
6, 18 : 7.59487e-10, 7.35921e-10
6, 19 : 9.8243e-10, 1.01694e-09
7, 0 : 3.26335e-10, 3.14391e-10
7, 1 : 3.49062e-10, 3.14391e-10
7, 2 : 3.49062e-10, 3.49519e-10
7, 3 : 3.49062e-10, 3.49519e-10
7, 4 : 3.50169e-10, 3.14391e-10
7, 5 : 3.50169e-10, 3.14391e-10
7, 6 : 3.5349e-10, 3.14391e-10
7, 7 : 4.69538e-10, 4.90029e-10
7, 8 : 4.87912e-10, 4.54901e-10
7, 9 : 4.91233e-10, 4.54901e-10
7, 10 : 4.9234e-10, 4.54901e-10
7, 11 : 6.10601e-10, 6.30539e-10
7, 12 : 5.88084e-10, 5.95411e-10
7, 13 : 6.31189e-10, 5.95411e-10
7, 14 : 6.36724e-10, 5.95411e-10
7, 15 : 7.51664e-10, 7.71049e-10
7, 16 : 7.63397e-10, 7.35921e-10
7, 17 : 7.68932e-10, 7.35921e-10
7, 18 : 7.74466e-10, 7.35921e-10
7, 19 : 9.94819e-10, 1.01694e-09
8, 0 : 3.49062e-10, 3.14391e-10
8, 1 : 4.25234e-10, 4.90029e-10
8, 2 : 4.28332e-10, 4.54901e-10
8, 3 : 4.27447e-10, 4.54901e-10
8, 4 : 4.26563e-10, 4.90029e-10
8, 5 : 4.26341e-10, 4.54901e-10
8, 6 : 4.28777e-10, 4.90029e-10
8, 7 : 4.87912e-10, 4.54901e-10
8, 8 : 4.87912e-10, 4.54901e-10
8, 9 : 4.9566e-10, 4.54901e-10
8, 10 : 5.69841e-10, 5.95411e-10
8, 11 : 6.25655e-10, 5.95411e-10
8, 12 : 6.08461e-10, 5.95411e-10
8, 13 : 6.35617e-10, 5.95411e-10
8, 14 : 7.12011e-10, 7.35921e-10
8, 15 : 7.64504e-10, 7.35921e-10
8, 16 : 7.63397e-10, 7.35921e-10
8, 17 : 7.7336e-10, 7.35921e-10
8, 18 : 8.49531e-10, 8.76431e-10
8, 19 : 1.0741e-09, 1.19258e-09
9, 0 : 4.25234e-10, 4.54901e-10
9, 1 : 4.4289e-10, 4.54901e-10
9, 2 : 4.4289e-10, 4.90029e-10
9, 3 : 4.43997e-10, 4.54901e-10
9, 4 : 4.43997e-10, 4.90029e-10
9, 5 : 4.4289e-10, 4.54901e-10
9, 6 : 4.48276e-10, 4.54901e-10
9, 7 : 5.67404e-10, 6.30539e-10
9, 8 : 5.84615e-10, 6.30539e-10
9, 9 : 5.83953e-10, 5.95411e-10
9, 10 : 5.93767e-10, 5.95411e-10
9, 11 : 7.06476e-10, 7.71049e-10
9, 12 : 6.91428e-10, 7.35921e-10
9, 13 : 7.27082e-10, 7.35921e-10
9, 14 : 7.4243e-10, 7.35921e-10
9, 15 : 8.45326e-10, 9.11559e-10
9, 16 : 8.5929e-10, 9.11559e-10
9, 17 : 8.63866e-10, 8.76431e-10
9, 18 : 8.88218e-10, 8.76431e-10
9, 19 : 1.09071e-09, 1.19258e-09
10, 0 : 4.43997e-10, 4.54901e-10
10, 1 : 4.65184e-10, 4.90029e-10
10, 2 : 4.65184e-10, 4.90029e-10
10, 3 : 4.65184e-10, 4.90029e-10
10, 4 : 4.67324e-10, 4.54901e-10
10, 5 : 4.68431e-10, 4.54901e-10
10, 6 : 4.65184e-10, 4.54901e-10
10, 7 : 5.86167e-10, 6.30539e-10
10, 8 : 6.04034e-10, 5.95411e-10
10, 9 : 6.08387e-10, 5.95411e-10
10, 10 : 6.09568e-10, 5.95411e-10
10, 11 : 7.26785e-10, 7.71049e-10
10, 12 : 7.07229e-10, 7.35921e-10
10, 13 : 7.46278e-10, 7.35921e-10
10, 14 : 7.53952e-10, 7.35921e-10
10, 15 : 8.63569e-10, 9.11559e-10
10, 16 : 8.86086e-10, 8.76431e-10
10, 17 : 8.83798e-10, 8.76431e-10
10, 18 : 8.98337e-10, 8.76431e-10
10, 19 : 1.12128e-09, 1.15745e-09
11, 0 : 4.65184e-10, 4.54901e-10
11, 1 : 4.86805e-10, 4.90029e-10
11, 2 : 4.86805e-10, 4.90029e-10
11, 3 : 4.86805e-10, 4.90029e-10
11, 4 : 4.89019e-10, 4.54901e-10
11, 5 : 4.90126e-10, 4.54901e-10
11, 6 : 4.93447e-10, 4.54901e-10
11, 7 : 6.09494e-10, 6.30539e-10
11, 8 : 6.26762e-10, 5.95411e-10
11, 9 : 6.31189e-10, 5.95411e-10
11, 10 : 6.33403e-10, 5.95411e-10
11, 11 : 7.50558e-10, 7.71049e-10
11, 12 : 7.28189e-10, 7.35921e-10
11, 13 : 7.68932e-10, 7.35921e-10
11, 14 : 7.75573e-10, 7.35921e-10
11, 15 : 8.91621e-10, 9.11559e-10
11, 16 : 9.02247e-10, 8.76431e-10
11, 17 : 9.08888e-10, 8.76431e-10
11, 18 : 9.16637e-10, 8.76431e-10
11, 19 : 1.13367e-09, 1.15745e-09
12, 0 : 4.86805e-10, 4.54901e-10
12, 1 : 5.62315e-10, 6.30539e-10
12, 2 : 5.62315e-10, 5.95411e-10
12, 3 : 5.62315e-10, 6.30539e-10
12, 4 : 5.6652e-10, 6.30539e-10
12, 5 : 5.64083e-10, 5.95411e-10
12, 6 : 5.69841e-10, 5.95411e-10
12, 7 : 6.26762e-10, 6.30539e-10
12, 8 : 6.26762e-10, 5.95411e-10
12, 9 : 6.37831e-10, 5.95411e-10
12, 10 : 7.09797e-10, 7.35921e-10
12, 11 : 7.64504e-10, 7.71049e-10
12, 12 : 7.48418e-10, 7.35921e-10
12, 13 : 7.77787e-10, 7.35921e-10
12, 14 : 8.53074e-10, 8.76431e-10
12, 15 : 9.05568e-10, 8.76431e-10
12, 16 : 9.03354e-10, 8.76431e-10
12, 17 : 9.14423e-10, 8.76431e-10
12, 18 : 9.91701e-10, 1.01694e-09
12, 19 : 1.21184e-09, 1.29796e-09
13, 0 : 5.62976e-10, 5.95411e-10
13, 1 : 5.80632e-10, 6.30539e-10
13, 2 : 5.80632e-10, 6.30539e-10
13, 3 : 5.82846e-10, 5.95411e-10
13, 4 : 5.83953e-10, 5.95411e-10
13, 5 : 5.80632e-10, 5.95411e-10
13, 6 : 5.88232e-10, 5.95411e-10
13, 7 : 7.0869e-10, 7.71049e-10
13, 8 : 7.25975e-10, 7.35921e-10
13, 9 : 7.2391e-10, 7.35921e-10
13, 10 : 7.32617e-10, 7.35921e-10
13, 11 : 8.4754e-10, 9.11559e-10
13, 12 : 8.32492e-10, 8.76431e-10
13, 13 : 8.65932e-10, 8.76431e-10
13, 14 : 8.82535e-10, 8.76431e-10
13, 15 : 9.86167e-10, 1.05207e-09
13, 16 : 1.00382e-09, 1.01694e-09
13, 17 : 1.00161e-09, 1.01694e-09
13, 18 : 1.03024e-09, 1.01694e-09
13, 19 : 1.22845e-09, 1.29796e-09
14, 0 : 5.82846e-10, 5.95411e-10
14, 1 : 6.04034e-10, 6.30539e-10
14, 2 : 6.04034e-10, 6.30539e-10
14, 3 : 6.04034e-10, 6.30539e-10
14, 4 : 6.06173e-10, 5.95411e-10
14, 5 : 6.0728e-10, 5.95411e-10
14, 6 : 6.04034e-10, 5.95411e-10
14, 7 : 7.29296e-10, 7.71049e-10
14, 8 : 7.42883e-10, 7.35921e-10
14, 9 : 7.47311e-10, 7.35921e-10
14, 10 : 7.48418e-10, 7.35921e-10
14, 11 : 8.70359e-10, 9.11559e-10
14, 12 : 8.46079e-10, 8.76431e-10
14, 13 : 8.87342e-10, 8.76431e-10
14, 14 : 8.92802e-10, 8.76431e-10
14, 15 : 1.01142e-09, 1.05207e-09
14, 16 : 1.02494e-09, 1.01694e-09
14, 17 : 1.02375e-09, 1.01694e-09
14, 18 : 1.03719e-09, 1.01694e-09
14, 19 : 1.26013e-09, 1.29796e-09
15, 0 : 6.04034e-10, 5.95411e-10
15, 1 : 6.25655e-10, 5.95411e-10
15, 2 : 6.25655e-10, 6.30539e-10
15, 3 : 6.25655e-10, 6.30539e-10
15, 4 : 6.27869e-10, 5.95411e-10
15, 5 : 6.27869e-10, 5.95411e-10
15, 6 : 6.3451e-10, 5.95411e-10
15, 7 : 7.49451e-10, 7.71049e-10
15, 8 : 7.65611e-10, 7.35921e-10
15, 9 : 7.70039e-10, 7.35921e-10
15, 10 : 7.7336e-10, 7.35921e-10
15, 11 : 8.90514e-10, 9.11559e-10
15, 12 : 8.69104e-10, 8.76431e-10
15, 13 : 9.07782e-10, 8.76431e-10
15, 14 : 9.17744e-10, 8.76431e-10
15, 15 : 1.03158e-09, 1.05207e-09
15, 16 : 1.0411e-09, 1.01694e-09
15, 17 : 1.04774e-09, 1.01694e-09
15, 18 : 1.0577e-09, 1.01694e-09
15, 19 : 1.27473e-09, 1.33309e-09
16, 0 : 6.25655e-10, 5.95411e-10
16, 1 : 7.01826e-10, 7.71049e-10
16, 2 : 7.07138e-10, 7.35921e-10
16, 3 : 7.06254e-10, 7.35921e-10
16, 4 : 7.05369e-10, 7.71049e-10
16, 5 : 7.0404e-10, 7.35921e-10
16, 6 : 7.09797e-10, 7.71049e-10
16, 7 : 7.65611e-10, 7.35921e-10
16, 8 : 7.75573e-10, 7.35921e-10
16, 9 : 7.80001e-10, 7.35921e-10
16, 10 : 8.5086e-10, 8.76431e-10
16, 11 : 9.03354e-10, 8.76431e-10
16, 12 : 8.94867e-10, 8.76431e-10
16, 13 : 9.19958e-10, 8.76431e-10
16, 14 : 9.93031e-10, 1.01694e-09
16, 15 : 1.0422e-09, 1.01694e-09
16, 16 : 1.0411e-09, 1.01694e-09
16, 17 : 1.05659e-09, 1.01694e-09
16, 18 : 1.13492e-09, 1.15745e-09
16, 19 : 1.35291e-09, 1.4736e-09
17, 0 : 7.01826e-10, 7.35921e-10
17, 1 : 7.19049e-10, 7.71049e-10
17, 2 : 7.19049e-10, 7.71049e-10
17, 3 : 7.19049e-10, 7.71049e-10
17, 4 : 7.21696e-10, 7.71049e-10
17, 5 : 8.02746e-10, 8.76431e-10
17, 6 : 8.378e-10, 9.11559e-10
17, 7 : 8.4621e-10, 9.11559e-10
17, 8 : 8.62314e-10, 9.11559e-10
17, 9 : 8.61219e-10, 8.76431e-10
17, 10 : 8.83791e-10, 8.76431e-10
17, 11 : 9.87051e-10, 1.05207e-09
17, 12 : 9.79332e-10, 1.01694e-09
17, 13 : 1.01364e-09, 1.01694e-09
17, 14 : 1.02788e-09, 1.01694e-09
17, 15 : 1.12391e-09, 1.19258e-09
17, 16 : 1.13699e-09, 1.19258e-09
17, 17 : 1.15566e-09, 1.15745e-09
17, 18 : 1.24099e-09, 1.29796e-09
17, 19 : 1.36856e-09, 1.43847e-09
18, 0 : 7.76229e-10, 8.76431e-10
18, 1 : 7.95653e-10, 9.11559e-10
18, 2 : 7.96538e-10, 9.11559e-10
18, 3 : 7.99499e-10, 9.11559e-10
18, 4 : 8.56791e-10, 9.11559e-10
18, 5 : 8.59005e-10, 9.11559e-10
18, 6 : 8.63433e-10, 9.11559e-10
18, 7 : 8.63866e-10, 9.11559e-10
18, 8 : 9.58652e-10, 1.05207e-09
18, 9 : 9.58652e-10, 1.05207e-09
18, 10 : 9.94799e-10, 1.05207e-09
18, 11 : 1.00825e-09, 1.05207e-09
18, 12 : 1.1228e-09, 1.19258e-09
18, 13 : 1.1228e-09, 1.19258e-09
18, 14 : 1.13144e-09, 1.19258e-09
18, 15 : 1.1457e-09, 1.19258e-09
18, 16 : 1.27267e-09, 1.33309e-09
18, 17 : 1.34767e-09, 1.4736e-09
18, 18 : 1.36127e-09, 1.4736e-09
18, 19 : 3.40282e+38, 3.40282e+38
19, 0 : 8.72709e-10, 1.05207e-09
19, 1 : 8.91323e-10, 1.05207e-09
19, 2 : 9.14947e-10, 1.05207e-09
19, 3 : 9.3428e-10, 1.05207e-09
19, 4 : 9.37242e-10, 1.05207e-09
19, 5 : 9.53791e-10, 1.01694e-09
19, 6 : 9.8243e-10, 1.05207e-09
19, 7 : 9.97855e-10, 1.05207e-09
19, 8 : 1.07609e-09, 1.19258e-09
19, 9 : 1.09264e-09, 1.15745e-09
19, 10 : 1.11907e-09, 1.19258e-09
19, 11 : 1.13781e-09, 1.19258e-09
19, 12 : 1.21383e-09, 1.33309e-09
19, 13 : 1.23082e-09, 1.33309e-09
19, 14 : 1.25408e-09, 1.33309e-09
19, 15 : 1.2782e-09, 1.33309e-09
19, 16 : 1.35158e-09, 1.4736e-09
19, 17 : 1.36856e-09, 1.4736e-09
19, 18 : 3.40282e+38, 3.40282e+38
19, 19 : 3.40282e+38, 3.40282e+38

SegTypeId 0 (unnamed_segment_0, length 4) Chan 1
0, 0 : 7.247e-11, 3.33711e-11
0, 1 : 7.247e-11, 3.33711e-11
0, 2 : 7.247e-11, 3.33711e-11
0, 3 : 7.247e-11, 3.33711e-11
0, 4 : 7.247e-11, 3.33711e-11
0, 5 : 7.247e-11, 3.33711e-11
0, 6 : 7.247e-11, 3.33711e-11
0, 7 : 2.10213e-10, 1.73881e-10
0, 8 : 2.10213e-10, 1.73881e-10
0, 9 : 2.1132e-10, 1.73881e-10
0, 10 : 2.86607e-10, 3.14391e-10
0, 11 : 3.46848e-10, 3.14391e-10
0, 12 : 3.47955e-10, 3.14391e-10
0, 13 : 3.49062e-10, 3.14391e-10
0, 14 : 4.24349e-10, 4.54901e-10
0, 15 : 4.85698e-10, 4.54901e-10
